acc,val_acc,loss,val_loss,epoch,model
0.0122104045003652,0.0208557657897472,8.677005767822266,8.357736587524414,0,xception
0.0259549785405397,0.025637574493885,8.124438285827637,8.334206581115723,1,xception
0.0313330255448818,0.0271677523851394,7.990734100341797,8.396714210510254,2,xception
0.0003992837446276,0.0011334655573591,9.241375923156738,9.117985725402832,0,vgg19
0.0011379587231203,0.0017852082382887,9.090198516845703,9.04104709625244,1,vgg19
0.0018274909816682,0.0022102578077465,9.017395973205566,8.986883163452148,2,vgg19
0.0123255820944905,0.0207707565277814,8.656085014343262,8.376688003540039,0,inceptionResNet
0.0242088809609413,0.0238311141729354,8.120756149291992,8.456214904785156,1,inceptionResNet
0.0280665755271911,0.0249574948102235,8.022768020629883,8.56983757019043,2,inceptionResNet
0.0118295485153794,0.019828563556075,8.708822250366211,8.420783042907715,0,inceptionv3
0.0247694142162799,0.0234414841979742,8.1641206741333,8.449585914611816,1,inceptionv3
0.0294794254004955,0.0241073966026306,8.042037963867188,8.539798736572266,2,inceptionv3
7.064251258270815e-05,0.0001062623996403,9.300215721130373,9.235794067382812,0,mobilenetv3L
0.0001013566434266,0.0001558515214128,9.255727767944336,9.234436988830566,1,mobilenetv3L
0.0001044280579662,0.0002337772748433,9.252872467041016,9.232112884521484,2,mobilenetv3L
5.989256169414148e-05,0.0001062623996403,9.284873008728027,9.224995613098145,0,simpleCNN
6.142826896393672e-05,0.0001062623996403,9.243672370910645,9.222334861755373,1,simpleCNN
7.217821257654577e-05,0.0001062623996403,9.242344856262209,9.222107887268066,2,simpleCNN
0.0115331578999757,0.0195947866886854,8.693821907043457,8.385376930236816,0,mobnetv2
0.0268856175243854,0.0245324447751045,8.115375518798828,8.37979793548584,1,mobnetv2
0.0333401933312416,0.026487672701478,7.962584972381592,8.453864097595215,2,mobnetv2
0.0100942002609372,0.0175970532000064,8.690969467163086,8.39556884765625,0,nasnetmobile
0.0204402562230825,0.020678661763668,8.168805122375488,8.405866622924805,1,nasnetmobile
0.024242665618658,0.0212241429835557,8.057955741882324,8.477055549621582,2,nasnetmobile
